pratique,sous_pratique,annee,nombre_plaintes
Régulation concurrentielle des marchés,Régulation du commerce,2013,9.0
Vie courante,DGCCRF pratique,2016,81.0
Litiges et manquements,Résiliation et reconduction de contrat,2016,2414.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2013,19370.0
Protection du consommateur,Signes de qualité,2018,61.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2015,344.0
Litiges et manquements,Information du consommateur,2009,5744.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2016,86.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2010,2182.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2015,57.0
Protection du consommateur,Règles particulières à certains contrats,2018,8692.0
Régulation concurrentielle des marchés,Régulation du commerce,2009,2.0
Litiges et manquements,Execution de la prestation,2013,9372.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2011,14.0
Vie courante,Régles spécifiques au droit bancaire,2014,194.0
Protection du consommateur,Signes de qualité,2015,43.0
Litiges et manquements,Information du consommateur,2018,2106.0
Vie courante,Régles spécifiques au droit immobilier,2017,275.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2017,173.0
Protection du consommateur,Signes de qualité,2010,30.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2016,116.0
Régulation concurrentielle des marchés,Ventes soumises à autorisation/déclaration et ventes irrégulières,2016,298.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2013,100.0
Litiges et manquements,Paiement,2016,4854.0
Infration pénale hors DGCCRF,Autre infraction pénale,2018,531.0
Vie courante,Divers,2011,146.0
Régulation concurrentielle des marchés,Régulation du commerce,2014,4.0
Sécurité du consommateur,Process,2014,773.0
Litiges et manquements,Livraison du bien,2015,3381.0
Protection du consommateur,Services financiers banques assurances et credit,2017,488.0
Vie courante,Commande publique,2016,4.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2016,660.0
Protection du consommateur,Règles particulières à certains contrats,2012,9088.0
Protection du consommateur,Règles particulières à certains contrats,2016,8830.0
Protection du consommateur,Règles de loyauté,2011,3991.0
Sécurité du consommateur,Sécurité des produits alimentaires,2011,2530.0
Sécurité du consommateur,Sécurité des produits alimentaires,2012,2330.0
Litiges et manquements,Paiement,2009,10479.0
Régulation concurrentielle des marchés,Régulation du commerce,2010,6.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2018,148.0
Vie courante,Protection des données et de la vie privée,2014,173.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2013,40.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2016,116.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2017,16662.0
